productNo	slug	title
107174970	fit-mt-0039	상해 쑤닝 노보텔 호텔 3박4일 (준5성급)
108458749	fit-mt-0038	<스튜디오시티2박> 마카오 자유여행 3일
109107855	fit-mt-0037	레갈라 스카이시티 호텔 2박4일 <별빛든든투어 포함/조식포함/디즈니랜드셔틀>
105894834	fit-mt-0036	호치민 MOM편한 자유여행 3박5일[다이남 부티크 시그니처룸]
99895567	fit-mt-0035	사파 MOM편한 자유여행 5일
101410328	fit-mt-0034	나트랑 MOM편한 자유여행 3박5일 [하바나 호텔(디럭스 오션뷰)]
104846081	fit-mt-0033	푸꾸옥 자유여행 3박5일 [노보텔 푸꾸옥]
108660650	fit-mt-0032	MOM편한 자유여행 3박5일
104629478	fit-mt-0031	보라카이 헤난 라군 프리미어 4박5일
103858569	fit-mt-0030	세부 솔레아 프리미어씨티뷰 3박5일 [리조트디너1회/워터파크]
106515068	fit-mt-0029	솔레아 슈페리어룸 3박5일
105739695	fit-mt-0027	<시내4성>타이중 자유여행 4일
106383757	fit-mt-0026	코코 호텔 나고야 사카에 사우스급 (더블룸/나고야중심부)
101994710	fit-mt-0025	더 비(THE B) 하카타 호텔급 (더블룸/하카타역도보5분)
107758490	fit-mt-0024	펄 스프링 호텔급 (시내호텔/트윈룸)
106813923	fit-mt-0023	도미인 코라쿠엔 호텔급 (온천욕♨/트윈or더블룸/최적의위치)
106148415	pkg-mt-0057	북중미 2경기 참관+멕시코 일주 13일
106174319	pkg-mt-0053	윈청/황애동/태항산 5일
102934389	pkg-mt-0051	연길/백두산(북파)/용정/두만강 3일 (준5성급호텔+발맛사지)
102564046	pkg-mt-0050	테를지 3박5일 (5성호텔1박+VIP게르2박)
102639096	pkg-mt-0049	상해/항주/주가각 4일 (준4성/서호유람선/나룻배)
105146422	pkg-mt-0048	청도 4일 (지묵고성/3대특식)
106174296	pkg-mt-0047	윈청/서안/병마용 5일
104313798	pkg-mt-0046	장가계 원가계+천문산 4일 (준5성/케이블카)
102630283	pkg-mt-0042	오사카/고베/교토/아라시야마 3일(공중정원/3대특식)
102629399	pkg-mt-0041	오사카/고베/교토+아라시야마 3일 (교토관광VS유니버셜스튜디오)
106291414	pkg-mt-0040	후쿠오카/유후인/벳부/히타/다자이후 3일 (온천호텔1박+시내호텔1박)
107837868	pkg-mt-0039	다낭 러닝투어 5일 (5성호텔)
101912666	pkg-mt-0036	다낭/호이안 5일 (호이안 5성급 2박 숙박, 센다이투스파, 메모리즈쇼)
103083279	pkg-mt-0073	도쿄/후지산/하코네/가마쿠라 온천4일 (애니메이션투어/현지차량가이드행사)
104908429	pkg-mt-0072	히로시마/미야지마/오카야마 4일(1일자유/노쇼핑)
107152946	pkg-mt-0071	도쿄/디즈니/오다이바 4일(트윈/원데이패스 포함)
103554670	pkg-mt-0070	오키나와 라구나가든+머큐어 4일 (오션뷰/실내외풀장/대욕장/트로피컬비치)
103136209	pkg-mt-0069	오사카/교토/난젠지 4일
107610095	pkg-mt-0067	오사카/고베 3일 (1일자유)
107583021	pkg-mt-0066	후쿠오카/유후인/벳부/구마모토 3일(신상온천호텔+월드체인)
107401472	pkg-mt-0033	다낭/바나힐/호이안/캔들라이트디너 3박5일
104174528	pkg-mt-0065	대만/단수이/예류/스펀/지우펀 3박5일 (4성호텔/천등체험/특식3회)
102437030	pkg-mt-0029	청도 3일(노쇼핑/월드체인호텔)
107993806	pkg-mt-0024	장사 장가계/원가계 3박5일 [월드체인5성/칠성산/VIP(백룡+보봉호)]
103339644	pkg-mt-0023	괌 닛코 오션프론트룸 3박5일<아일랜드관광/레이트체크아웃>
106358029	pkg-mt-0022	다낭/호이안/1일선택 3박5일 [다낭골든베이]
104886099	fit-mt-0019	스마일 호텔 시즈오카 4일 ●호텔 1박 포함●(3성/세미더블/조식불포함/1박만 포함)
105242901	pkg-mt-0020	아프리카 4개국 7일(짐바브웨/잠비아/보츠와나/남아공) <빅토리아폭포/사파리>
104324869	pkg-mt-0019	미동부 캐나다 12일 <나이아가라폭포뷰2박/오타와/올드퀘벡2박/3대미술관/4대야경/4대유람선/맨하탄1박>
100739298	fit-mt-0018	[풀커버 자유여행] 특급 애스톤 와이키키 선셋 <원 베드룸 스탠다드> 하와이 6일 <4인가족 전용>
100739303	fit-mt-0017	[UP][풀커버 자유여행] 초특급 힐튼 하와이언 빌리지 <리조트뷰->오션뷰> 하와이 6일
103726692	fit-mt-0016	[요나고 자유3일] 하베스트 인 요나고 호텔급 [세미더블/JR요나고역]
105145350	fit-mt-0015	[4인가족전용] [안다즈2박] 마카오 에어텔 3일 (5성)
105641662	fit-mt-0014	[홍콩에어텔] 알렉산드라 호텔 2박4일 <트윈룸/홍콩섬위치/포트리스힐역도보5분>
103961756	fit-mt-0013	[저녁출발/에어텔]사이판 PIC 슈페리어룸 3박5일<레이트체크아웃/전일정호텔식(골드패스)>
101516779	fit-mt-0012	[에어텔] 싱가포르 자유여행 3박 5일 (준특급 2박 + 마리나베이샌즈 1박)
101516646	fit-mt-0011	[에어텔] 이비스 노베나 싱가포르 자유여행 3박 5일
102323383	fit-mt-0010	[4성급/가오슝시내] 대만 남부 가오슝 에어텔 4일
101445060	fit-mt-0028	<시내4성/참참호텔>타이베이 자유여행 3박5일
103643430	fit-mt-0008	[모두의렌트카] 오키나와 퍼시픽호텔 자유 4일 (항공+호텔+렌트카)
100137318	fit-mt-0006	[올인ONEday][후쿠오카 자유3일+1DAY투어] 시내호텔급(세미더블룸/하카타역근처)
105183749	fit-mt-0005	[도쿄 자유3일] 도미인 코라쿠엔 호텔급 (온천욕/트윈or더블룸)
100225719	fit-mt-0004	[오사카 자유4일] 씨티루트 호텔급 (더블룸/도심위치)
104739290	pkg-mt-0015	[출발확정][밴쿠버 직항] 캐나다 로키 밴프 7일 <4대국립공원/5대호수/밴프숙박>
105529507	pkg-mt-0014	[모두단독] 미서부 핵심일주 7일 <4대캐년>
105728671	pkg-mt-0012	[호핑+노쇼핑+노팁+왕복픽업] 보홀 / 알로나 by 제이파크 디럭스룸 3박5일
106003157	pkg-mt-0010	서유럽 3국 10일 (이탈리아/스위스/프랑스) - 융프라우 및 주요 박물관 내부 관람
105707938	pkg-mt-0008	푸켓 인기 4성급 호텔(팡아만+산호섬) 3박 5일
105730294	pkg-mt-0007	나트랑X달랏 3박 5일 [4성급/스파 및 주요 관광 포함]
105873165	pkg-mt-0006	[3대야경/키스브릿지/바구니배/전신마사지] 푸꾸옥 패키지 3박5일
105896067	pkg-mt-0003	몽골/테를지 5일 (신게르 & 4성 호텔)
105740355	pkg-mt-0002	[연길직항][호텔UP]연길 백두산 북파+서파 용정 두만강 4일
101580840	pkg-mt-0062	대만/단수이/예류/스펀/지우펀 4일 (4성호텔/천등체험/특식3회)
104123742	pkg-mt-0068	후쿠오카/유후인/벳부 4일(럭셔리 온천호텔2박+월드체인호텔1박+현지특식+간식특전)
